iteration,r2x,error,r2x_change
1,0.016690604014002353,0.9833093959859976,0.0
2,0.017053146420067056,0.9829468535799329,0.0003625424060647031
3,0.017344010081538075,0.9826559899184619,0.00029086366147101916
4,0.01757643561919131,0.9824235643808087,0.00023242553765323581
5,0.017698327113708445,0.9823016728862916,0.00012189149451713455
6,0.01775672869136824,0.9822432713086318,5.840157765979459e-05
7,0.0177916091011443,0.9822083908988557,3.488040977606133e-05
8,0.017817107617473793,0.9821828923825262,2.549851632949185e-05
9,0.01783793040509818,0.9821620695949018,2.0822787624386052e-05
10,0.017856085177416436,0.9821439148225836,1.815477231825735e-05
11,0.017872737192053956,0.982127262807946,1.6652014637519308e-05
12,0.017888726268216804,0.9821112737317832,1.5989076162847837e-05
13,0.017904722804200746,0.9820952771957993,1.5996535983942017e-05
14,0.017921268962532655,0.9820787310374673,1.654615833190931e-05
15,0.017938758727033544,0.9820612412729665,1.7489764500888683e-05
16,0.017957353737857562,0.9820426462621424,1.8595010824018487e-05
17,0.017976847800505236,0.9820231521994948,1.9494062647673616e-05
18,0.01799657458646975,0.9820034254135303,1.9726785964513383e-05
19,0.018015519596975782,0.9819844804030242,1.8945010506032922e-05
20,0.0180326910451738,0.9819673089548262,1.7171448198016748e-05
21,0.018047530340522977,0.981952469659477,1.4839295349178272e-05
22,0.018060049229900565,0.9819399507700994,1.2518889377588494e-05
23,0.01807065084656656,0.9819293491534334,1.0601616665995017e-05
24,0.018079854063792866,0.9819201459362071,9.203217226305682e-06
25,0.018088109563061838,0.9819118904369382,8.255499268972066e-06
26,0.018095739231935082,0.9819042607680649,7.629668873243567e-06
27,0.018102946748633664,0.9818970532513663,7.207516698581884e-06
28,0.018109848445412524,0.9818901515545875,6.901696778860433e-06
29,0.01811650089116612,0.9818834991088339,6.652445753596581e-06
30,0.018122920692585143,0.9818770793074149,6.4198014190219865e-06
31,0.018129098779620434,0.9818709012203796,6.178087035291213e-06
32,0.01813501187656641,0.9818649881234336,5.913096945975305e-06
33,0.01814063236219088,0.9818593676378091,5.6204856244690404e-06
34,0.018145935321040474,0.9818540646789595,5.30295884959564e-06
35,0.01815089507337775,0.9818491049266223,4.959752337274637e-06
36,0.018155430897187186,0.9818445691028128,4.535823809437289e-06
37,0.018159045060577195,0.9818409549394228,3.614163390008862e-06
38,0.0181615987898317,0.9818384012101683,2.553729254506365e-06
39,0.018165084693411937,0.9818349153065881,3.4859035802359273e-06
40,0.01816774628517981,0.9818322537148202,2.6615917678718404e-06
41,0.018171322791077804,0.9818286772089222,3.576505897995297e-06
42,0.018172974444086165,0.9818270255559138,1.6516530083610093e-06
43,0.0181757375783983,0.9818242624216017,2.763134312133708e-06
44,0.01817838525929316,0.9818216147407068,2.6476808948627806e-06
45,0.018180609455066832,0.9818193905449332,2.224195773670168e-06
46,0.018183524008370977,0.981816475991629,2.914553304145251e-06
47,0.01818531128080303,0.981814688719197,1.7872724320522337e-06
48,0.018188102813735285,0.9818118971862647,2.791532932255869e-06
49,0.018189910012253674,0.9818100899877463,1.8071985183887307e-06
50,0.018192179833850575,0.9818078201661494,2.2698215969008118e-06
51,0.018194044179221103,0.9818059558207789,1.8643453705280422e-06
52,0.018196519266228117,0.9818034807337719,2.475087007014487e-06
53,0.018197590259183105,0.9818024097408169,1.070992954987915e-06
54,0.018199675250309855,0.9818003247496901,2.084991126749536e-06
55,0.018201543361034078,0.9817984566389659,1.8681107242235484e-06
56,0.018203108433936355,0.9817968915660636,1.5650729022764764e-06
57,0.01820515482911278,0.9817948451708872,2.046395176424909e-06
58,0.01820623232708063,0.9817937676729194,1.0774979678496166e-06
59,0.018208079906481767,0.9817919200935182,1.8475794011374447e-06
60,0.018209627651628035,0.981790372348372,1.5477451462686531e-06
61,0.01821125253297262,0.9817887474670274,1.6248813445862709e-06
62,0.018212502250468,0.981787497749532,1.2497174953773893e-06
63,0.018214352705256287,0.9817856472947437,1.8504547882880473e-06
64,0.018215101550409507,0.9817848984495905,7.488451532200457e-07
